system:index,first,.geo
1_1_1_1_1_1_1_1_1_1_43,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.66270967542007,13.266429466566091]}"
1_1_1_1_1_1_1_1_1_1_44,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.90811116407608,10.174285942052812]}"
1_1_1_1_1_1_1_1_1_1_45,80.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.87917283102209,10.538261020902302]}"
1_1_1_1_1_1_1_1_1_1_46,190.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.210618006416,9.720507775778684]}"
1_1_1_1_1_1_1_1_1_1_47,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.95792950920193,10.971760667484906]}"
1_1_1_1_1_1_1_1_1_1_48,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.05104939561637,9.658181648075008]}"
1_1_1_1_1_1_1_1_1_1_49,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.54010445985068,14.402018959169366]}"
1_1_1_1_1_1_1_1_1_1_50,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.99116873715592,11.56991982940365]}"
1_1_1_1_1_1_1_1_1_1_51,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.61070788969664,11.912379890600867]}"
1_1_1_1_1_1_1_1_1_1_52,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.8760588835192,12.702865317422663]}"
1_1_1_1_1_1_1_1_1_1_53,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.01947404531917,11.56391585971448]}"
1_1_1_1_1_1_1_1_1_1_54,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.83920857947302,13.303282609051148]}"
1_1_1_1_1_1_1_1_1_1_55,190.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.08640762034928,13.74153578873472]}"
1_1_1_1_1_1_1_1_1_1_56,210.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.52601703934636,9.912433157208602]}"
1_1_1_1_1_1_1_1_1_1_57,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.98012217960938,13.560487865139471]}"
1_1_1_1_1_1_1_1_1_1_58,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.24835933869703,12.13579279539756]}"
1_1_1_1_1_1_1_1_1_1_59,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.78840336133403,12.961204326825777]}"
