system:index,first,.geo
1_1_1_1_1_1_1_1_1_2_40,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.83283710824638,10.260285096622798]}"
1_1_1_1_1_1_1_1_1_2_41,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.98355052003993,13.996843482639841]}"
1_1_1_1_1_1_1_1_1_2_42,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.65634725057653,14.441213449494716]}"
1_1_1_1_1_1_1_1_1_2_43,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.66270967542007,13.266429466566091]}"
1_1_1_1_1_1_1_1_1_2_44,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.90811116407608,10.174285942052812]}"
1_1_1_1_1_1_1_1_1_2_45,80.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.87917283102209,10.538261020902302]}"
1_1_1_1_1_1_1_1_1_2_46,190.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.210618006416,9.720507775778684]}"
1_1_1_1_1_1_1_1_1_2_47,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.95792950920193,10.971760667484906]}"
1_1_1_1_1_1_1_1_1_2_48,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.05104939561637,9.658181648075008]}"
1_1_1_1_1_1_1_1_1_2_49,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.54010445985068,14.402018959169366]}"
1_1_1_1_1_1_1_1_1_2_50,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.99116873715592,11.56991982940365]}"
1_1_1_1_1_1_1_1_1_2_51,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.61070788969664,11.912379890600867]}"
1_1_1_1_1_1_1_1_1_2_52,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.8760588835192,12.702865317422663]}"
1_1_1_1_1_1_1_1_1_2_53,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.01947404531917,11.56391585971448]}"
1_1_1_1_1_1_1_1_1_2_54,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.83920857947302,13.303282609051148]}"
1_1_1_1_1_1_1_1_1_2_55,190.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.08640762034928,13.74153578873472]}"
1_1_1_1_1_1_1_1_1_2_56,210.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.52601703934636,9.912433157208602]}"
1_1_1_1_1_1_1_1_1_2_57,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.98012217960938,13.560487865139471]}"
1_1_1_1_1_1_1_1_1_2_58,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.24835933869703,12.13579279539756]}"
1_1_1_1_1_1_1_1_1_2_59,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.78840336133403,12.961204326825777]}"
1_1_1_1_1_1_1_1_1_2_60,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.09703320836554,12.110860564965785]}"
1_1_1_1_1_1_1_1_1_2_61,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.68696236950461,11.416715624686661]}"
1_1_1_1_1_1_1_1_1_2_62,140.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.06557886517233,10.48098547350408]}"
1_1_1_1_1_1_1_1_1_2_63,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.92653284179848,13.129956079591405]}"
1_1_1_1_1_1_1_1_1_2_64,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.51193225241553,14.230909532249425]}"
1_1_1_1_1_1_1_1_1_2_65,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.29875431432731,11.02814383477588]}"
1_1_1_1_1_1_1_1_1_2_66,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.86869183058302,10.561728695571821]}"
1_1_1_1_1_1_1_1_1_2_67,73.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.50581046462554,10.139540805391794]}"
1_1_1_1_1_1_1_1_1_2_68,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.9998673338443,12.202794514191018]}"
1_1_1_1_1_1_1_1_1_2_69,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.29744734839677,14.443233902064287]}"
1_1_1_1_1_1_1_1_1_2_70,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.00096600499622,13.659316145598517]}"
1_1_1_1_1_1_1_1_1_2_71,110.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.321530973342,11.343034399109605]}"
1_1_1_1_1_1_1_1_1_2_72,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.18084744125831,11.030155894656053]}"
1_1_1_1_1_1_1_1_1_2_73,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.36233930331605,14.43269775135914]}"
1_1_1_1_1_1_1_1_1_2_74,73.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.18844000572493,9.925670824837818]}"
1_1_1_1_1_1_1_1_1_2_75,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.5628802119013,13.991482326030127]}"
1_1_1_1_1_1_1_1_1_2_76,13.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.35055931864649,10.449986551639553]}"
1_1_1_1_1_1_1_1_1_2_77,190.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.6752324826516,11.972288554125972]}"
1_1_1_1_1_1_1_1_1_2_78,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.69048864531604,12.619648592893094]}"
1_1_1_1_1_1_1_1_1_2_79,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.09957424127971,12.26566454508921]}"
1_1_1_1_1_1_1_1_1_2_80,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.6586779751948,12.062816814809118]}"
1_1_1_1_1_1_1_1_1_2_81,90.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.7817210831811,14.027672726107108]}"
1_1_1_1_1_1_1_1_1_2_82,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.95028180535344,10.86008365103495]}"
1_1_1_1_1_1_1_1_1_2_83,120.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.3856822239704,9.528336381363394]}"
1_1_1_1_1_1_1_1_1_2_84,140.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.85216338745263,12.774672886102136]}"
1_1_1_1_1_1_1_1_1_2_85,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.85081102874094,13.726477980650893]}"
1_1_1_1_1_1_1_1_1_2_86,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.54310990079168,13.540877020933946]}"
1_1_1_1_1_1_1_1_1_2_87,10.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.1925182644594,10.07934658630627]}"
