Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
97	0.0095109	0.0106104	0.0000138	0.0105966	0.0000000	
98	0.2017490	0.0471857	0.0062239	0.0409618	0.0000000	
99	0.0474541	0.0353357	0.0003443	0.0155671	0.0194243	
100	0.0228537	0.0548219	0.0000799	0.0386618	0.0160802	
101	0.0262982	0.0617297	0.0001058	0.0484906	0.0131333	
102	0.0211758	0.0362412	0.0000686	0.0346573	0.0015153	
103	0.0053361	0.0023192	0.0000044	0.0023149	0.0000000	
104	0.0778111	0.4473530	0.0009258	0.1591420	0.2872852	
105	0.1064097	0.0811096	0.0017314	0.0445990	0.0347792	
106	0.1780824	0.0608998	0.0048494	0.0396336	0.0164169	
107	0.2315336	0.7896273	0.0081973	0.4587817	0.3226483	
108	0.0404956	0.0706633	0.0002508	0.0704125	0.0000000	
109	1.3272500	3.0230550	0.2693691	2.2202310	0.5334542	
110	0.0622276	0.1163076	0.0005921	0.1085631	0.0071524	
111	0.0000001	0.0000002	0.0000000	0.0000002	0.0000000	
112	0.0445024	0.1053423	0.0003028	0.0845423	0.0204971	
113	0.0065890	0.0007529	0.0000066	0.0007430	0.0000032	
114	0.0102006	0.0149539	0.0000159	0.0149380	0.0000000	
115	0.8080186	2.5119230	0.0998355	1.4543790	0.9577081	
116	0.0024423	0.0003231	0.0000009	0.0002953	0.0000269	
117	0.1851051	0.0164918	0.0052394	0.0112495	0.0000030	
118	0.0066277	0.0390675	0.0000067	0.0108454	0.0282153	
119	0.0047206	0.0005736	0.0000034	0.0005688	0.0000014	
120	0.0059108	0.0014333	0.0000053	0.0006846	0.0007433	
121	0.0072197	0.0016744	0.0000080	0.0008323	0.0008341	
122	0.0626229	0.1864636	0.0005997	0.1005876	0.0852763	
123	0.0032122	0.0011587	0.0000016	0.0003885	0.0007687	
124	0.2000327	0.4674858	0.0061185	0.3458353	0.1155321	
125	0.0264227	0.0240910	0.0001068	0.0239842	0.0000000	
126	0.0027689	0.0009635	0.0000012	0.0003445	0.0006178	
127	0.1296443	0.2883164	0.0025701	0.2474814	0.0382649	
128	0.0426876	0.0902772	0.0002786	0.0656324	0.0243662	
129	0.0069597	0.0131299	0.0000074	0.0131225	0.0000000	
130	0.0013043	0.0011713	0.0000003	0.0011711	0.0000000	
131	0.0202823	0.0487307	0.0000629	0.0346631	0.0140046	
132	0.0172623	0.1174143	0.0000456	0.0175336	0.0998351	
133	0.2951311	0.4795352	0.0133190	0.3674247	0.0987914	
134	0.0031754	0.0059675	0.0000015	0.0052190	0.0007470	
135	0.4018971	0.8446400	0.0246986	0.7040852	0.1158562	
