"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
1,0.5556977,0.0510595,0.0334589,0.0176005,1e-07,1,0
2,0.4123291,0.5422341,0.0184214,0.5238126,1e-07,2,0
3,6.093956,4.563852,4.023774,0.5392663,0.0008115,2,0
4,0.1238387,0.0041798,0.0016617,0.0025182,1e-07,3,0
5,0.209842,0.0073019,0.0047711,0.0025293,1.6e-06,3,0
6,2.780582,1.459789,0.8377348,0.6220495,4.6e-06,4,0
7,0.015722,0.0101856,2.68e-05,0.0101588,1e-07,4,0
8,0.0103159,0.0148056,1.15e-05,0.0079692,0.006825,4,0
9,0.0675951,0.2140578,0.0004951,0.0515724,0.1619904,4,0
10,0.1284941,0.0821709,0.001789,0.0803819,1e-07,4,0
11,0.3055897,0.394713,0.0101184,0.2075769,0.1770177,4,0
12,0.8112205,0.5447299,0.0713038,0.4436508,0.0297754,4,0.3605956
13,0.007721,0.0090883,6.5e-06,0.0029436,0.0061383,4,0.4206687
14,0.0264307,0.0291183,7.57e-05,0.0290426,1e-07,4,0.0007008
15,0.0393824,0.0453644,0.0001681,0.0443748,0.0008215,4,0.0017725
16,0.0983666,0.1081834,0.0010484,0.107135,1e-07,4,0.0003539
17,0.0707688,0.1550087,0.0005426,0.0809163,0.0735499,4,0.0999301
18,1.278145,1.342542,0.1770089,1.112498,0.0530352,4,0.0999301
19,0.1637972,0.5434345,0.002907,0.1979902,0.3425374,4,0.0999301
20,0.1646111,0.4310769,0.002936,0.2088619,0.2192791,4,0.1063555
21,0.2075745,0.6284874,0.0046686,0.272903,0.350916,4,0.1100817
22,0.0058185,0.0076931,3.7e-06,0.0076894,1e-07,4,6.33e-05
23,0.0202996,0.1636635,4.46e-05,0.0354391,0.1281798,4,8.28e-05
24,0.0112423,0.0264574,1.37e-05,0.0242544,0.0021894,4,0.0027339
25,0.0211677,0.0440944,4.85e-05,0.0439356,0.0001104,4,0.0041418
26,0.0114591,0.0278912,1.42e-05,0.0278769,1e-07,4,0.0025104
27,0.047763,0.1249197,0.0002472,0.1207961,0.0038765,4,0.0024055
28,0.0140738,0.0407652,2.15e-05,0.0359673,0.0047766,4,0.0024055
29,0.1051729,0.5856961,0.0011985,0.2566952,0.3278024,4,0.0065681
30,0.0532779,0.1357023,0.0003076,0.1353947,1e-07,4,0.0024055
31,0.0181192,0.0313155,3.56e-05,0.0312799,1e-07,4,0.0006889
