"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
706,0.0083795,0.021538,2.72e-05,0.019064,0.0024468,344,0
707,0.0016422,0.0023687,1e-06,0.0023677,0,344,0
708,0.0255401,0.0334957,0.0002523,0.0332434,0,344,1.9e-06
709,0.0347019,0.0207366,0.0004658,0.0172706,0.0030001,344,0.0001031
710,0.0028099,0.0055897,3.1e-06,0.0055867,0,344,0
711,0.0094959,0.0284579,3.49e-05,0.028423,0,344,1.9e-06
712,0.003575,0.0080006,4.9e-06,0.0060509,0.0019448,344,5.81e-05
713,0.0074781,0.011479,2.16e-05,0.0114574,0,344,5.81e-05
714,0.003379,0.0032744,4.4e-06,0.0032691,8e-07,344,1.9e-06
715,0.0014907,0.0012207,9e-07,0.0012198,0,344,0
716,0.2088254,0.1111402,0.0168672,0.0920444,0.0022286,344,1.12e-05
717,0.0031407,0.0042462,3.8e-06,0.0042424,0,344,0
718,0.0051036,0.0115041,1.01e-05,0.011494,0,344,0
719,0.004328,0.012231,7.2e-06,0.0122238,0,344,0
720,0.1967485,0.1607792,0.0149727,0.1458065,0,344,0
721,0.00867,0.0224434,2.91e-05,0.0224144,0,344,0
722,0.1228936,0.0470396,0.0058416,0.0410386,0.0001593,344,0.0004348
723,0.0049818,0.00011,9.6e-06,8.07e-05,1.96e-05,351,3.7e-06
724,0.0187145,0.0004303,0.0001355,0.0002672,2.77e-05,351,0
725,0.0075607,7.88e-05,2.21e-05,5.32e-05,3.5e-06,351,0
726,0.0028722,0.0016132,3.2e-06,0.0004117,0.0011983,344,0.0003373
727,0.1099457,0.2368526,0.0046756,0.2321771,0,344,0
728,0.001127,0.0001072,5e-07,0.0001067,0,344,0
729,0.193749,0.0841372,0.0145196,0.0696176,0,344,0
730,0.0973979,0.0224943,0.0036692,0.0134141,0.0054109,344,0.0002324
731,6.186422,16.38695,14.80319,1.548325,0.0354374,344,0.001844
732,0.268219,0.0422743,0.0278263,0.0144476,4e-07,344,0
