"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
1,0.5556977,0.0406744,0.0385926,0.0020818,0,1,0
2,0.4123291,0.6097323,0.0212479,0.5884844,0,2,0
3,6.093956,5.231583,4.641154,0.590318,0.000111,2,0
4,0.1238387,0.0037042,0.0019166,0.0017876,0,3,0
5,0.209842,0.0072908,0.0055032,0.0017876,0,3,0
6,2.780582,1.512691,0.9662709,0.5464198,0,4,0
7,0.015722,0.0093359,3.09e-05,0.0093051,0,4,0
8,0.0103159,0.0175784,1.33e-05,0.0081193,0.0094457,4,0
9,0.0675951,0.2583318,0.000571,0.0525854,0.2051753,4,0
10,0.1284941,0.0753313,0.0020634,0.0732678,0,4,0
11,0.3055897,0.4215086,0.0116709,0.2031582,0.2066795,4,0
12,0.8112205,0.4930087,0.0822442,0.4084955,0.002269,4,0
13,0.007721,0.0015091,7.5e-06,0.0009309,0.0005707,5,0
14,0.0264307,0.0195464,8.73e-05,0.0194591,0,5,0.0001587
15,0.0393824,0.031234,0.0001938,0.0301717,0.0008684,5,0.0002413
16,0.0983666,0.0725442,0.0012093,0.071335,0,5,0.0001587
17,0.0707688,0.1118635,0.0006259,0.0547928,0.0564447,5,3.4e-06
18,1.278145,0.8298592,0.2041678,0.6001066,0.0255847,5,0.0003267
19,0.1637972,0.3676686,0.0033531,0.1290734,0.235242,5,2.4e-05
20,0.1646111,0.2921013,0.0033865,0.135317,0.1533978,5,0.0019305
21,0.2075745,0.4140976,0.0053849,0.1754882,0.2332245,5,0.0020597
22,0.0058185,0.0049923,4.2e-06,0.004988,0,5,0.0010142
23,0.0202996,0.1177916,5.15e-05,0.0252505,0.0924895,5,0.0006432
24,0.0112423,0.0229881,1.58e-05,0.0201274,0.0028449,5,3.22e-05
25,0.0211677,0.0356853,5.6e-05,0.0355338,9.55e-05,5,3.22e-05
26,0.0114591,0.0246374,1.64e-05,0.024621,0,5,0.0001908
27,0.047763,0.1163622,0.0002851,0.1110018,0.0050753,5,2.03e-05
28,0.0140738,0.0399976,2.48e-05,0.0332248,0.006748,5,2.03e-05
29,0.1051729,0.4592657,0.0013824,0.2277253,0.2301579,5,0.0002052
30,0.0532779,0.1251501,0.0003547,0.1247953,0,5,3.22e-05
31,0.0181192,0.0228272,4.1e-05,0.0227862,0,5,7.66e-05
32,0.0195083,0.0350155,4.76e-05,0.03229,0.0026779,5,9.62e-05
33,0.8559179,2.116006,0.091557,1.951911,0.0725376,5,0.0002836
34,0.013782,0.0348226,2.37e-05,0.027382,0.0074169,5,0.0002474
35,0.0151382,0.0292771,2.86e-05,0.0292484,0,5,0.0002474
36,0.3604038,0.9402879,0.0162333,0.8946004,0.0294541,5,0.0002474
37,0.1784695,0.4745272,0.0039807,0.4705465,0,5,0.0003309
38,0.0101968,0.000789,1.3e-05,0.000776,0,6,0
39,0.0827241,0.2215268,0.0008552,0.2206715,0,5,6.35e-05
40,0.0047663,0.0004352,2.8e-06,0.0003948,3.76e-05,6,0
