"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
1,0.5556977,0.0512316,0.0512313,3e-07,0,1,0
2,0.4123291,0.7363777,0.0282063,0.7081714,0,2,0
3,6.093956,6.869252,6.16108,0.7081717,0,2,0
4,0.1238387,0.0028869,0.0025443,0.0003426,0,3,0
5,0.209842,0.007648,0.0073054,0.0003426,0,4,0
6,2.780582,1.612744,1.282714,0.3300296,0,5,0
7,0.015722,0.0054629,4.1e-05,0.0054219,0,5,0
8,0.0103159,0.0209032,1.77e-05,0.0072473,0.0136382,5,5e-06
9,0.0675951,0.2613365,0.000758,0.0470572,0.2135212,5,5e-06
10,0.1284941,0.0495607,0.0027392,0.0468215,0,5,0
11,0.3055897,0.3586021,0.015493,0.1631705,0.1799384,5,5e-06
12,0.8112205,0.3797164,0.1091782,0.270538,1e-07,5,0
13,0.007721,4.24e-05,9.9e-06,3.25e-05,0,6,0
14,0.0264307,0.012902,0.0001159,0.0127861,0,7,0
15,0.0393824,0.022702,0.0002573,0.0210819,0.0013627,7,0
16,0.0983666,0.0481796,0.0016053,0.0465743,0,7,0
17,0.0707688,0.0615391,0.0008309,0.0365264,0.0241817,7,0.0005341
18,1.278145,0.4685577,0.2710306,0.1876104,0.0099167,7,0.0005341
19,0.1637972,0.1157755,0.0044511,0.0572344,0.0540899,7,0.0008714
20,0.1646111,0.0819445,0.0044955,0.0490916,0.0283574,7,0.0008714
21,0.2075745,0.0774681,0.0071484,0.050587,0.0197326,7,0.0011937
22,0.0058185,0.0016255,5.6e-06,0.0016199,0,7,0.0011937
23,0.0202996,0.0163799,6.84e-05,0.0059139,0.0103975,7,0.0030358
24,0.0112423,0.0122102,2.1e-05,0.0093415,0.0028476,7,0
25,0.0211677,0.0149716,7.43e-05,0.0148558,4.14e-05,7,4.89e-05
26,0.0114591,0.0143312,2.18e-05,0.0143094,0,7,0.0016095
27,0.047763,0.0830523,0.0003785,0.0774354,0.0052383,7,5.48e-05
28,0.0140738,0.0338018,3.29e-05,0.0236723,0.0100965,7,6.13e-05
29,0.1051729,0.1631265,0.0018351,0.1342632,0.0270281,7,0.0017375
30,0.0532779,0.0885814,0.0004709,0.0881104,0,7,6.13e-05
31,0.0181192,0.0062735,5.45e-05,0.006219,0,7,0
32,0.0195083,0.0149928,6.31e-05,0.0132689,0.0016607,7,7.9e-06
33,0.8559179,1.618632,0.1215409,1.404059,0.0930323,7,0.0003159
34,0.013782,0.0213691,3.15e-05,0.0147637,0.0065739,7,8.18e-05
35,0.0151382,0.0151641,3.8e-05,0.0151261,0,7,8.18e-05
36,0.3604038,0.7375944,0.0215495,0.6908529,0.0251919,7,0.0001963
37,0.1784695,0.3957646,0.0052843,0.3904803,0,7,0.0002713
38,0.0101968,0.0003944,1.72e-05,0.0003771,0,8,0
39,0.0827241,0.1835227,0.0011353,0.1823873,0,7,0.0002939
40,0.0047663,0.0002629,3.8e-06,0.0002161,4.3e-05,8,0
41,0.4250266,0.4191762,0.0299703,0.389206,0,7,0.0005405
42,0.0161869,0.0021534,4.35e-05,0.00211,0,7,0
43,0.0182028,0.001072,5.5e-05,0.001017,0,8,2.43e-05
44,0.0047506,0.0002771,3.7e-06,0.0002733,0,8,2.43e-05
45,0.0012262,7.62e-05,2e-07,7.59e-05,0,8,2.43e-05
46,0.0026139,0.0001393,1.1e-06,0.0001382,0,8,2.43e-05
47,0.0864732,0.0048682,0.0012406,0.0033017,0.0003259,8,2.43e-05
48,0.0045184,0.0002653,3.4e-06,0.000257,4.9e-06,8,2.43e-05
49,0.2050731,0.4193563,0.0069771,0.3098375,0.1025416,7,0.0004222
50,0.2087431,0.076064,0.0072291,0.0672756,0.0015593,7,0.0003838
51,0.0087744,0.0005601,1.28e-05,0.0005385,8.8e-06,8,2.43e-05
52,0.0256257,0.0016109,0.0001089,0.0014583,4.35e-05,8,2.43e-05
53,0.0027694,0.0002685,1.3e-06,0.0001731,9.4e-05,8,4.7e-05
54,0.5502613,0.4674749,0.0502338,0.3739013,0.0433397,7,0.0001592
55,0.2304136,0.4973518,0.0088079,0.3341104,0.1544334,7,2.63e-05
56,4.050926,8.739719,2.722494,5.060285,0.9569392,7,0.0061871
57,0.0253361,0.0008411,0.0001065,0.0007346,0,7,9e-07
58,0.0553135,0.0064531,0.0005076,0.0048164,0.001129,7,0.0004505
59,0.0663655,0.0093514,0.0007307,0.0063115,0.0023092,7,0.000267
60,0.8435728,1.887501,0.1180602,1.340309,0.4291316,7,0.0006413
61,0.0456827,0.0028131,0.0003462,0.0020469,0.0004199,8,7.68e-05
62,0.0031356,0.0009479,1.6e-06,0.0003092,0.0006369,7,0.0001216
63,0.0119515,0.0007237,2.37e-05,0.0005855,0.0001144,8,0.0007337
64,0.0050474,0.0002219,4.2e-06,0.0002177,0,8,0.0007337
65,0.0154032,0.0013511,3.94e-05,0.0013118,0,7,0.0004505
66,0.1590733,0.0126237,0.0041981,0.0078146,0.0006109,7,3e-04
67,0.0911461,0.0121465,0.0013783,0.0079822,0.002786,7,0.0016491
68,0.3137403,0.4116856,0.0163305,0.2716431,0.123712,7,0.0020735
69,0.0824022,0.0085614,0.0011265,0.0062146,0.0012202,7,0.0008612
70,0.0188296,0.0020937,5.88e-05,0.0017996,0.0002352,7,0.0002221
71,0.0559941,0.0061161,0.0005202,0.0054984,9.75e-05,7,0.0016491
72,0.0710415,0.003765,0.0008373,0.0027862,0.0001414,7,7.34e-05
73,0.0159469,0.0003689,4.22e-05,0.0003267,0,8,0.0001003
74,0.0116386,0.0004571,2.25e-05,0.0004346,0,7,0
75,0.0385417,0.0212818,0.0002464,0.0150806,0.0059547,7,0.0002147
76,0.177721,0.0381239,0.0052401,0.0313622,0.0015215,7,0.0042467
77,0.0127166,0.0003185,2.68e-05,0.0002687,2.29e-05,8,4.42e-05
78,2.06936,5.637846,0.7104449,3.503548,1.423854,7,0.0061628
79,0.0102781,0.0081106,1.75e-05,0.0054098,0.0026832,7,0.0001427
80,0.0205148,0.0095271,6.98e-05,0.0047172,0.00474,7,2.46e-05
81,0.0049137,0.0041996,4e-06,0.0026357,0.0015599,7,0.0001427
82,0.0285325,0.0155925,0.0001351,0.0087171,0.0067402,7,0.0001363
83,0.0242167,0.0098834,9.73e-05,0.005641,0.004145,7,2.46e-05
84,0.0316492,0.01597,0.0001662,0.0152521,0.0005516,7,0.0012405
85,0.018743,0.0004516,5.83e-05,0.000332,6.12e-05,8,0.0020389
86,0.0418821,0.017097,0.000291,0.0124534,0.0043525,7,0.0001363
87,0.0557251,0.0203613,0.0005152,0.0124612,0.0073848,7,2.46e-05
88,0.027476,0.0144196,0.0001252,0.0072958,0.0069985,7,2.46e-05
89,0.0152251,0.0051079,3.85e-05,0.0039397,0.0011297,7,1.75e-05
90,0.0493626,0.019003,0.0004043,0.0149251,0.0036736,7,0.0025555
91,0.0109721,0.0046874,2e-05,0.0034635,0.0012039,7,0.0008692
