"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
1,0.5556977,0.057911,0.057911,0,3e-07,1,0
2,0.4123291,0.7763693,0.031884,0.7444853,3e-07,2,0
3,6.093956,7.708869,6.964384,0.7444853,3e-07,2,0
4,0.1238387,0.0029684,0.0028761,9.23e-05,3e-07,3,0
5,0.209842,0.0083502,0.0082579,9.23e-05,3e-07,4,0
6,2.780582,1.663095,1.449959,0.2131366,3e-07,5,0
7,0.015722,0.003394,4.64e-05,0.0033477,3e-07,5,3.7e-06
8,0.0103159,0.0183688,2e-05,0.0061437,0.0122055,5,3.7e-06
9,0.0675951,0.1950785,0.0008569,0.0399042,0.1543177,5,3.7e-06
10,0.1284941,0.0368151,0.0030964,0.0337188,3e-07,5,0
11,0.3055897,0.2673161,0.017513,0.1321849,0.1176184,5,3e-05
12,0.8112205,0.317143,0.1234133,0.1937298,3e-07,5,0
13,0.007721,1.5e-05,1.12e-05,3.9e-06,3e-07,6,0
14,0.0264307,0.0127659,0.000131,0.0126348,3e-07,7,0
15,0.0393824,0.0240336,0.0002909,0.0218501,0.001893,7,0
16,0.0983666,0.0481497,0.0018146,0.0463351,3e-07,7,0
17,0.0707688,0.0588111,0.0009392,0.0369734,0.0208988,7,0.0004666
18,1.278145,0.4734788,0.3063685,0.1586461,0.0084645,7,0.0004666
19,0.1637972,0.083418,0.0050315,0.0456385,0.0327482,7,0.0015366
20,0.1646111,0.0557583,0.0050816,0.0353745,0.0153024,7,1.12e-05
21,0.2075745,0.0422504,0.0080804,0.0311026,0.0030677,7,0.0019358
22,0.0058185,0.001127,6.3e-06,0.0011206,3e-07,7,0.000148
23,0.0202996,0.0038307,7.73e-05,0.0020678,0.0016858,7,0.002631
24,0.0112423,0.0077545,2.37e-05,0.005571,0.0021601,7,8.2e-06
25,0.0211677,0.0083287,8.4e-05,0.0082148,3.01e-05,7,8.2e-06
26,0.0114591,0.0100182,2.46e-05,0.0099936,3e-07,7,0
27,0.047763,0.0666145,0.0004278,0.0621189,0.004068,7,0
28,0.0140738,0.0300118,3.71e-05,0.0192931,0.0106818,7,8.2e-06
29,0.1051729,0.1034645,0.0020744,0.0943341,0.0070563,7,0.0031323
30,0.0532779,0.0718382,0.0005323,0.0713059,3e-07,7,0.0003777
31,0.0181192,0.0025456,6.16e-05,0.002484,3e-07,7,0
32,0.0195083,0.0081029,7.14e-05,0.0071415,0.0008903,7,0.0001765
33,0.8559179,1.370882,0.1373878,1.147235,0.0862603,7,0.0007725
34,0.013782,0.014495,3.56e-05,0.009699,0.0047607,7,9.67e-05
35,0.0151382,0.0096793,4.3e-05,0.0096363,3e-07,7,9.67e-05
36,0.3604038,0.6335167,0.0243592,0.5912476,0.0179102,7,0.0004779
37,0.1784695,0.3578833,0.0059733,0.3519101,3e-07,7,0.0004516
38,0.0101968,0.0003269,1.95e-05,0.0003074,3e-07,8,0
39,0.0827241,0.1640339,0.0012834,0.1627506,3e-07,7,5.58e-05
40,0.0047663,0.0002439,4.3e-06,0.0001908,4.91e-05,8,4e-07
41,0.4250266,0.263291,0.0338779,0.2294131,3e-07,7,0.0004496
42,0.0161869,0.000774,4.91e-05,0.0007248,3e-07,7,0
43,0.0182028,0.0010716,6.21e-05,0.0010094,3e-07,8,2.5e-06
44,0.0047506,0.0002722,4.2e-06,0.0002679,3e-07,8,2.5e-06
45,0.0012262,7.65e-05,3e-07,7.63e-05,3e-07,8,5.7e-06
46,0.0026139,0.0001303,1.3e-06,0.0001291,3e-07,8,5.7e-06
47,0.0864732,0.0049737,0.0014023,0.0032035,0.0003682,8,1.09e-05
48,0.0045184,0.0002578,3.8e-06,0.0002481,6.2e-06,8,1.09e-05
49,0.2050731,0.3131387,0.0078868,0.2276067,0.0776454,7,8.96e-05
50,0.2087431,0.0385802,0.0081716,0.0300018,0.000407,7,0.0003223
51,0.0087744,0.0005672,1.44e-05,0.0005412,1.18e-05,8,1.09e-05
52,0.0256257,0.0016394,0.0001232,0.0014633,5.32e-05,8,1.09e-05
53,0.0027694,0.0002909,1.4e-06,0.0001728,0.0001169,8,6.6e-06
54,0.5502613,0.2908962,0.0567835,0.2144748,0.0196382,7,0.0006796
55,0.2304136,0.3516127,0.0099564,0.2412139,0.1004427,7,0.0002622
56,4.050926,7.695731,3.077463,3.985331,0.6329372,7,0.0056552
57,0.0253361,0.0005088,0.0001204,0.0003885,3e-07,9,0
58,0.0553135,0.0048952,0.0005738,0.0035681,0.0007536,9,3.45e-05
59,0.0663655,0.0074814,0.000826,0.0050171,0.0016386,9,1e-05
60,0.8435728,1.428201,0.1334533,0.9926761,0.3020716,7,0.0007555
61,0.0456827,0.0026291,0.0003914,0.0018881,0.0003499,8,6.55e-05
62,0.0031356,0.0007608,1.8e-06,0.0002755,0.0004837,9,1.95e-05
63,0.0119515,0.0006303,2.68e-05,0.0005249,7.88e-05,8,3.85e-05
64,0.0050474,0.0001861,4.8e-06,0.0001813,3e-07,8,2.39e-05
65,0.0154032,0.0009842,4.45e-05,0.0009397,3e-07,9,1e-05
66,0.1590733,0.0105024,0.0047455,0.0054014,0.0003558,9,4.57e-05
67,0.0911461,0.0095834,0.001558,0.006131,0.0018947,9,1e-05
68,0.3137403,0.2605365,0.0184597,0.1692756,0.0728014,7,0.0017158
69,0.0824022,0.0063896,0.0012734,0.0043906,0.0007258,9,5.67e-05
70,0.0188296,0.0018957,6.65e-05,0.0016276,0.0002019,9,8.5e-06
71,0.0559941,0.0050421,0.000588,0.0044273,2.7e-05,9,0
72,0.0710415,0.0028182,0.0009465,0.001783,8.91e-05,9,4.12e-05
73,0.0159469,0.0002333,4.77e-05,0.0001856,3e-07,8,2.62e-05
74,0.0116386,0.0003134,2.54e-05,0.000288,3e-07,9,0
75,0.0385417,0.0092471,0.0002786,0.0064964,0.0024723,7,0.0006905
76,0.177721,0.0203538,0.0059233,0.0140564,0.0003744,7,1.14e-05
