Node,dA,dPC,dPCintra,dPCflux,dPCconnector,Component,BC
1,0.5556977,0.1426396,0.1426396,0,0,1,0
2,0.4123291,0.0790107,0.0785328,0.0004778,0,2,0
3,6.093956,17.15433,17.15385,0.0004778,0,3,0
4,0.1238387,0.007084,0.007084,0,0,4,0
5,0.209842,0.0203399,0.0203399,0,0,5,0
6,2.780582,3.571369,3.571369,0,0,6,0
7,0.015722,0.0001142,0.0001142,0,0,7,0
8,0.0103159,0.0001274,0.0000492,0.0000782,0,8,0
9,0.0675951,0.0021888,0.0021105,0.0000782,0,8,0
10,0.1284941,0.0076266,0.0076266,0,0,9,0
11,0.3055897,0.0431361,0.0431361,0.0000001,0,10,0
12,0.8112205,0.3039772,0.3039772,0.0000001,0,11,0
13,0.007721,0.0000275,0.0000275,0,0,12,0
14,0.0264307,0.0003359,0.0003227,0.0000132,0,13,0
15,0.0393824,0.0056032,0.0007164,0.0048766,0.0000102,14,0
16,0.0983666,0.004569,0.0044695,0.0000995,0,15,0
17,0.0707688,0.0031119,0.0023134,0.0007985,0,16,0
18,1.278145,0.7603899,0.754611,0.005776,0.000003,14,0
19,0.1637972,0.012393,0.012393,0,0,17,0
20,0.1646111,0.0125165,0.0125165,0,0,18,0
21,0.2075745,0.0199063,0.0199027,0.0000036,0,19,0
22,0.0058185,0.0000193,0.0000156,0.0000036,0,20,0
23,0.0202996,0.0001903,0.0001903,0,0,21,0
24,0.0112423,0.0000584,0.0000584,0,0,22,0
25,0.0211677,0.000207,0.000207,0,0,23,0
26,0.0114591,0.0001611,0.0000607,0.0001005,0,24,0
27,0.047763,0.0012505,0.0010538,0.0001967,0,25,0
28,0.0140738,0.0003897,0.0000915,0.000228,0.0000702,25,3.70E-06
29,0.1051729,0.0052099,0.0051094,0.0001005,0,24,0
30,0.0532779,0.0014886,0.0013112,0.0001775,0,25,0
31,0.0181192,0.0001516,0.0001516,0,0,26,0
32,0.0195083,0.0001758,0.0001758,0,0,27,0
33,0.8559179,0.3384328,0.3383976,0.0000352,0,28,0
34,0.013782,0.0000929,0.0000877,0.0000052,0,29,0
35,0.0151382,0.000111,0.0001059,0.0000052,0,30,0
36,0.3604038,0.0599999,0.0599987,0.0000012,0,31,0
37,0.1784695,0.0149846,0.0147127,0.0002719,0,32,0
38,0.0101968,0.000048,0.000048,0,0,33,0
39,0.0827241,0.0031896,0.003161,0.0000286,0,34,0
40,0.0047663,0.0000105,0.0000105,0,0,35,0
41,0.4250266,0.083444,0.083444,0,0,36,0
42,0.0161869,0.000121,0.000121,0,0,37,0
43,0.0182028,0.000164,0.0001531,0.000011,0,38,0
44,0.0047506,0.0000109,0.0000104,0.0000005,0,39,0
45,0.0012262,0.0000018,0.0000007,0.0000011,0,40,0
46,0.0026139,0.0000032,0.0000032,0,0,41,0
47,0.0864732,0.0034718,0.003454,0.0000177,0,42,0
48,0.0045184,0.0000096,0.0000094,0.0000001,0,43,0
49,0.2050731,0.0233387,0.0194259,0.0039128,0,44,0
50,0.2087431,0.0201274,0.0201274,0,0,45,0
51,0.0087744,0.0000366,0.0000356,0.0000011,0,46,0
52,0.0256257,0.0003084,0.0003033,0.0000051,0,47,0
53,0.0027694,0.0000041,0.0000035,0.0000005,0,48,0
54,0.5502613,0.139863,0.1398625,0.0000005,0,49,0
55,0.2304136,0.0284359,0.0245233,0.0039126,0,44,0
56,4.050926,7.580348,7.580046,0.0003016,0,50,0
57,0.0253361,0.0002965,0.0002965,0,0,51,0
58,0.0553135,0.0014133,0.0014133,0,0,52,0
59,0.0663655,0.0021122,0.0020345,0.0000777,0,53,0
60,0.8435728,0.3287067,0.3287065,0.0000002,0,54,0
61,0.0456827,0.0009641,0.000964,0.0000001,0,55,0
62,0.0031356,0.0000284,0.0000045,0.0000239,0,56,0
63,0.0119515,0.000066,0.000066,0.0000001,0,57,0
