"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
1,0.5556977,0.2908046,0.008838,0.2819666,0,1,0
2,0.4123291,0.2937813,0.0048659,0.2889154,0,1,4.8e-06
3,6.093956,3.397596,1.062863,2.302707,0.0320258,1,5.5e-06
4,0.1238387,0.0935575,0.0004389,0.0931186,0,1,9.2e-06
5,0.209842,0.1715393,0.0012603,0.1669518,0.0033273,1,1.23e-05
6,2.780582,4.615266,0.2212841,4.156441,0.2375408,1,7.3e-05
7,0.015722,0.0258534,7.1e-06,0.0258463,0,1,7.3e-05
8,0.0103159,0.0233686,3e-06,0.0172264,0.0061392,1,7.3e-05
9,0.0675951,0.2810017,0.0001308,0.1125849,0.1682861,1,7.3e-05
10,0.1284941,0.2143486,0.0004725,0.213876,0,1,7.3e-05
11,0.3055897,0.7722816,0.0026727,0.5089257,0.2606831,1,7.3e-05
12,0.8112205,1.75013,0.0188346,1.333454,0.3978408,1,7.3e-05
13,0.007721,0.0700225,1.7e-06,0.0152691,0.0547517,1,8.2e-05
14,0.0264307,0.0565153,2e-05,0.0564953,0,1,8.42e-05
15,0.0393824,0.0845383,4.44e-05,0.0843527,0.0001413,1,8.42e-05
16,0.0983666,0.2102153,0.0002769,0.2099384,0,1,8.42e-05
17,0.0707688,0.2051368,0.0001433,0.1518035,0.05319,1,8.6e-05
18,1.278145,2.988713,0.0467561,2.64958,0.2923766,1,8.66e-05
19,0.1637972,0.6326211,0.0007679,0.3537117,0.2781416,1,8.75e-05
20,0.1646111,0.5163009,0.0007755,0.357483,0.1580424,1,8.85e-05
21,0.2075745,0.7058792,0.0012332,0.4524719,0.2521741,1,8.96e-05
22,0.0058185,0.0127209,1e-06,0.0127199,0,1,8.96e-05
23,0.0202996,0.1219005,1.18e-05,0.0455872,0.0763015,1,8.96e-05
24,0.0112423,0.0257816,3.6e-06,0.0255814,0.0001966,1,8.96e-05
25,0.0211677,0.0480597,1.28e-05,0.0480235,2.34e-05,1,8.96e-05
26,0.0114591,0.0264042,3.8e-06,0.0264004,0,1,8.96e-05
27,0.047763,0.1104018,6.53e-05,0.1099919,0.0003447,1,8.96e-05
28,0.0140738,0.0328575,5.7e-06,0.0324586,0.0003933,1,8.96e-05
29,0.1051729,0.4474437,0.0003166,0.2419855,0.2051416,1,8.96e-05
30,0.0532779,0.1228132,8.12e-05,0.122732,0,1,8.96e-05
31,0.0181192,0.0404195,9.4e-06,0.0404101,0,1,8.96e-05
32,0.0195083,0.0444485,1.09e-05,0.0441607,0.0002769,1,8.96e-05
33,0.8559179,1.964188,0.0209673,1.938629,0.0045926,1,9.27e-05
34,0.013782,0.0321481,5.4e-06,0.0315128,0.0006299,1,9.27e-05
35,0.0151382,0.0345672,6.6e-06,0.0345606,0,1,9.27e-05
36,0.3604038,0.8349109,0.0037176,0.8285473,0.0026461,1,0.0001315
37,0.1784695,0.4140818,0.0009116,0.4131702,0,1,0.0001423
38,0.0101968,0.0109565,3e-06,0.0109534,2e-07,1,2.3e-06
39,0.0827241,0.1921878,0.0001959,0.1919919,0,1,0.0001924
40,0.0047663,0.0051703,7e-07,0.0051403,2.94e-05,1,2.3e-06
41,0.4250266,0.968073,0.0051702,0.9629027,0,1,0.0001901
42,0.0161869,0.0353875,7.5e-06,0.03538,0,1,0.0001889
43,0.0182028,0.0205778,9.5e-06,0.0197785,0.0007899,1,2.5e-06
44,0.0047506,0.0051547,6e-07,0.005154,0,1,2.5e-06
45,0.0012262,0.0013325,0,0.0013325,0,1,2.5e-06
