"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
1,0.5556977,0.0777444,0.0777444,0,1e-07,1,0
2,0.4123291,0.7612635,0.0428036,0.7184599,1e-07,2,0
3,6.093956,10.06801,9.349553,0.7184599,1e-07,2,0
4,0.1238387,0.0038612,0.003861,2e-07,1e-07,3,0
5,0.209842,0.0110862,0.0110861,2e-07,1e-07,4,0
6,2.780582,1.975971,1.946542,0.029429,1e-07,5,0
7,0.015722,0.0003632,6.22e-05,0.0003009,1e-07,5,0
8,0.0103159,0.0053675,2.68e-05,0.0023956,0.0029452,5,1.87e-05
9,0.0675951,0.0338604,0.0011503,0.014978,0.0177322,5,1.87e-05
10,0.1284941,0.0147131,0.0041568,0.0105563,1e-07,5,0
11,0.3055897,0.090883,0.0235109,0.0571754,0.0101967,5,3e-05
12,0.8112205,0.2291181,0.16568,0.0634381,1e-07,5,0
13,0.007721,1.5e-05,1.5e-05,0,1e-07,6,0
14,0.0264307,0.0115448,0.0001759,0.0113689,1e-07,7,0
15,0.0393824,0.0284914,0.0003905,0.0244635,0.0036376,7,0
16,0.0983666,0.0457579,0.0024361,0.0433218,1e-07,7,0
17,0.0707688,0.0473285,0.0012609,0.0373375,0.0087302,7,6e-05
18,1.278145,0.5348022,0.4112939,0.1185515,0.0049569,7,5.62e-05
19,0.1637972,0.0282201,0.0067547,0.0169115,0.004554,7,5.62e-05
20,0.1646111,0.0224076,0.006822,0.0128369,0.0027488,7,4.5e-05
21,0.2075745,0.0200855,0.0108478,0.0090728,0.000165,7,2.62e-05
22,0.0058185,0.0005892,8.5e-06,0.0005806,1e-07,7,0
23,0.0202996,0.0001301,0.0001037,2.58e-05,6e-07,8,0
24,0.0112423,0.001103,3.18e-05,0.0007171,0.0003541,9,7.87e-05
25,0.0211677,0.0008762,0.0001128,0.0007581,5.4e-06,9,0
26,0.0114591,0.0025939,3.31e-05,0.0025609,1e-07,9,0
27,0.047763,0.0302301,0.0005743,0.0289068,0.0007491,9,0.0001499
28,0.0140738,0.0190995,4.99e-05,0.0096723,0.0093774,9,0
29,0.1051729,0.0264992,0.0027848,0.0225393,0.0011752,9,7.87e-05
30,0.0532779,0.0351949,0.0007146,0.0344802,1e-07,9,0
31,0.0181192,0.000144,8.27e-05,6.14e-05,1e-07,9,0
32,0.0195083,0.0006708,9.58e-05,0.0005449,3.02e-05,9,7.87e-05
33,0.8559179,0.7678612,0.1844406,0.5449697,0.038451,9,0.0003186
34,0.013782,0.0026279,4.78e-05,0.0017574,0.0008228,9,7.12e-05
35,0.0151382,0.001586,5.77e-05,0.0015283,1e-07,9,7.12e-05
36,0.3604038,0.3780219,0.0327017,0.3425071,0.0028131,9,0.0002811
37,0.1784695,0.2648574,0.008019,0.2568384,1e-07,9,0
38,0.0101968,0.0001375,2.62e-05,0.0001114,1e-07,10,0
39,0.0827241,0.1125814,0.0017229,0.1108586,1e-07,9,0.0001687
40,0.0047663,0.000138,5.7e-06,9.75e-05,3.48e-05,10,1.9e-06
41,0.4250266,0.0705483,0.0454804,0.0250679,1e-07,9,0
42,0.0161869,0.0001062,6.6e-05,4.02e-05,1e-07,11,0
43,0.0182028,0.0009696,8.34e-05,0.0008862,1e-07,10,0
44,0.0047506,0.0002257,5.7e-06,0.00022,1e-07,10,3.7e-06
45,0.0012262,6.98e-05,4e-07,6.94e-05,1e-07,10,1.2e-06
46,0.0026139,8.51e-05,1.7e-06,8.34e-05,1e-07,10,3e-06
47,0.0864732,0.0048373,0.0018826,0.0026385,0.0003163,10,9.92e-05
48,0.0045184,0.0001968,5.1e-06,0.0001851,6.6e-06,10,3e-06
49,0.2050731,0.114247,0.0105879,0.0835472,0.0201121,9,7.87e-05
50,0.2087431,0.0135705,0.0109703,0.0025962,4.2e-06,12,0
51,0.0087744,0.0005198,1.94e-05,0.0004839,1.66e-05,10,1.17e-05
52,0.0256257,0.0015433,0.0001653,0.0013133,6.47e-05,10,2.61e-05
53,0.0027694,0.0003082,1.9e-06,0.0001499,0.0001564,10,0
54,0.5502613,0.1292752,0.0762308,0.0518104,0.0012341,9,0
55,0.2304136,0.1073154,0.0133662,0.0822314,0.011718,9,0.0001499
56,4.050926,6.016097,4.131435,1.7635,0.1211611,9,0.0005228
57,0.0253361,0.0001893,0.0001616,2.77e-05,1e-07,13,0
58,0.0553135,0.0022773,0.0007703,0.0013492,0.0001579,14,7.5e-06
59,0.0663655,0.0056842,0.0011089,0.0040089,0.0005665,14,3.7e-06
60,0.8435728,0.514049,0.1791585,0.2912198,0.0436708,9,0.0003204
61,0.0456827,0.0019002,0.0005254,0.0012093,0.0001655,10,8.25e-05
62,0.0031356,0.0003641,2.5e-06,0.0002412,0.0001204,14,4.5e-05
63,0.0119515,0.0003853,3.6e-05,0.0003139,3.55e-05,10,0
64,0.0050474,8.8e-05,6.4e-06,8.15e-05,1e-07,10,0
65,0.0154032,0.0003571,5.97e-05,0.0002973,1e-07,14,4.12e-05
66,0.1590733,0.0087306,0.0063707,0.0023031,5.69e-05,14,0
67,0.0911461,0.0087102,0.0020916,0.0051305,0.0014883,14,2.62e-05
68,0.3137403,0.0818724,0.0247818,0.0501311,0.0069596,9,7.87e-05
69,0.0824022,0.0029849,0.0017095,0.0012165,5.9e-05,14,5.62e-05
70,0.0188296,0.001754,8.93e-05,0.0015962,6.86e-05,14,0
71,0.0559941,0.0047754,0.0007894,0.0039859,3e-07,14,0
72,0.0710415,0.0016207,0.0012706,0.0003425,7.7e-06,15,0
73,0.0159469,0.0001515,6.4e-05,8.75e-05,1e-07,16,0
74,0.0116386,0.0001208,3.41e-05,8.67e-05,1e-07,15,0
75,0.0385417,0.000953,0.000374,0.0005306,4.85e-05,17,0.0001124
76,0.177721,0.0140632,0.0079519,0.0061097,1.8e-06,17,0
77,0.0127166,0.0001281,4.07e-05,8.63e-05,1.2e-06,16,0
