"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
1,0.5556977,0.1425965,0.023248,0.1193485,0,1,0
2,0.4123291,0.3927458,0.0127996,0.3799462,0,1,0
3,6.093956,3.287528,2.795802,0.4883835,0.0033432,1,0
4,0.1238387,0.0060762,0.0011546,0.0049217,0,2,0
5,0.209842,0.0112967,0.0033151,0.007638,0.0003436,2,0
6,2.780582,1.954134,0.5820755,1.369142,0.002916,3,0
7,0.015722,0.0134191,1.86e-05,0.0134005,0,3,4e-07
8,0.0103159,0.015789,8e-06,0.0094486,0.0063323,3,1e-06
9,0.0675951,0.2257648,0.000344,0.0612998,0.1641209,3,1e-06
10,0.1284941,0.1124278,0.001243,0.1111848,0,3,2.9e-06
11,0.3055897,0.5051877,0.0070305,0.2681718,0.2299854,3,2.9e-06
12,0.8112205,0.9714121,0.0495434,0.6515704,0.2702984,3,2.56e-05
13,0.007721,0.0543585,4.5e-06,0.009565,0.0447891,3,0.0001083
14,0.0264307,0.0474696,5.26e-05,0.047417,0,3,0.0002443
15,0.0393824,0.0720226,0.0001168,0.0713624,0.0005435,3,0.0003007
16,0.0983666,0.1764832,0.0007285,0.1757547,0,3,0.000215
17,0.0707688,0.2112512,0.000377,0.1291892,0.0816849,3,0.0008114
18,1.278145,2.438356,0.1229894,2.087642,0.2277248,3,0.0006827
19,0.1637972,0.7235949,0.0020199,0.3083863,0.4131888,3,0.0014725
20,0.1646111,0.5676198,0.00204,0.3174386,0.2481412,3,0.0028843
21,0.2075745,0.8116907,0.0032438,0.40727,0.4011768,3,0.0032886
22,0.0058185,0.0114684,2.5e-06,0.0114658,0,3,0.0021401
23,0.0202996,0.1765434,3.1e-05,0.0450367,0.1314757,3,0.0018079
24,0.0112423,0.0276904,9.5e-06,0.0267248,0.000956,3,0.0001886
25,0.0211677,0.0497378,3.37e-05,0.0496155,8.85e-05,3,0.0001886
26,0.0114591,0.0287288,9.9e-06,0.0287189,0,3,0.0001856
27,0.047763,0.1223272,0.0001717,0.1204748,0.0016807,3,8.03e-05
28,0.0140738,0.0376569,1.49e-05,0.0356784,0.0019636,3,8.03e-05
29,0.1051729,0.6110031,0.0008328,0.2633233,0.346847,3,0.0001856
30,0.0532779,0.1348404,0.0002137,0.1346267,0,3,0.0001886
31,0.0181192,0.0393184,2.47e-05,0.0392937,0,3,0.0001032
32,0.0195083,0.0465603,2.87e-05,0.0453162,0.0012154,3,0.0001032
33,0.8559179,2.16828,0.0551534,2.090936,0.0221907,3,0.0001032
34,0.013782,0.0364119,1.43e-05,0.0335193,0.0028782,3,0.0001032
35,0.0151382,0.0365773,1.73e-05,0.0365601,0,3,0.0001032
36,0.3604038,0.9376335,0.0097788,0.9160653,0.0117893,3,0.0002014
37,0.1784695,0.465958,0.0023979,0.46356,0,3,3e-04
38,0.0101968,0.0039139,7.8e-06,0.0039061,0,4,1.2e-06
39,0.0827241,0.2168627,0.0005152,0.2163475,0,3,0.0003496
40,0.0047663,0.0019125,1.7e-06,0.0018619,4.88e-05,4,1.2e-06
41,0.4250266,1.024431,0.0136,1.010831,0,3,0.0003496
42,0.0161869,0.0314883,1.97e-05,0.0314686,0,3,0.0002118
43,0.0182028,0.0073559,2.49e-05,0.0073028,2.81e-05,4,1.2e-06
44,0.0047506,0.0019092,1.7e-06,0.0019075,0,4,1.2e-06
45,0.0012262,0.0004968,1e-07,0.0004967,0,4,1.2e-06
46,0.0026139,0.0010507,5e-07,0.0010502,0,4,1.2e-06
47,0.0864732,0.0352813,0.000563,0.0341112,0.0006072,4,1.2e-06
48,0.0045184,0.0018486,1.5e-06,0.0018361,1.1e-05,4,1.2e-06
49,0.2050731,0.5644499,0.0031661,0.5186193,0.0426645,3,0.0003496
50,0.2087431,0.4664394,0.0032804,0.4452869,0.0178721,3,0.0003733
51,0.0087744,0.003615,5.8e-06,0.0035965,1.27e-05,4,1.2e-06
52,0.0256257,0.010606,4.94e-05,0.0104484,0.0001081,4,1.2e-06
53,0.0027694,0.0013783,6e-07,0.0011479,0.0002298,4,1.2e-06
54,0.5502613,1.349274,0.0227953,1.255244,0.0712338,3,0.0003733
55,0.2304136,0.6794549,0.0039969,0.5797174,0.0957406,3,0.0003733
56,4.050926,10.99222,1.235425,8.31749,1.439306,3,0.0017825
57,0.0253361,0.0298497,4.83e-05,0.0298013,0,3,2.17e-05
58,0.0553135,0.0959085,0.0002303,0.0835562,0.0121219,3,4.92e-05
59,0.0663655,0.1303645,0.0003316,0.1054633,0.0245696,3,6.74e-05
60,0.8435728,2.339803,0.0535739,2.092489,0.1937396,3,0.0007259
61,0.0456827,0.0232965,0.0001571,0.0189265,0.0042129,4,1.2e-06
62,0.0031356,0.0084838,7e-07,0.0042332,0.0042498,3,2.66e-05
63,0.0119515,0.006845,1.08e-05,0.0050831,0.0017511,4,1.2e-06
64,0.0050474,0.0021693,1.9e-06,0.0021674,0,4,1.2e-06
65,0.0154032,0.023335,1.79e-05,0.0233172,0,3,7.73e-05
66,0.1590733,0.2202899,0.001905,0.2098459,0.0085389,3,4.32e-05
67,0.0911461,0.1761711,0.0006254,0.1456546,0.029891,3,0.0001415
68,0.3137403,0.8504915,0.0074105,0.7416014,0.1014796,3,0.0007006
69,0.0824022,0.1333771,0.0005112,0.119582,0.0132839,3,6.14e-05
70,0.0188296,0.0266732,2.67e-05,0.025234,0.0014124,3,3.57e-05
71,0.0559941,0.0911655,0.000236,0.0897322,0.0011973,3,0.0001051
72,0.0710415,0.0908702,0.00038,0.0864077,0.0040825,3,4.38e-05
73,0.0159469,0.0076887,1.91e-05,0.0076349,3.47e-05,4,1.2e-06
74,0.0116386,0.0141312,1.02e-05,0.0135989,0.000522,3,3.54e-05
75,0.0385417,0.0935929,0.0001118,0.0862392,0.0072418,3,0.0004234
76,0.177721,0.3847842,0.0023779,0.3571657,0.0252406,3,0.0002654
77,0.0127166,0.0063871,1.22e-05,0.006125,0.0002498,4,1.2e-06
78,2.06936,6.989561,0.3223888,4.897219,1.769953,3,0.0014868
79,0.0102781,0.0255359,8e-06,0.0239942,0.0015338,3,0.0004234
80,0.0205148,0.054186,3.17e-05,0.0417364,0.0124179,3,0.0001951
81,0.0049137,0.0123735,1.8e-06,0.0114984,0.0008733,3,0.0004234
82,0.0285325,0.0703195,6.13e-05,0.0618436,0.0084146,3,0.0003655
83,0.0242167,0.059865,4.42e-05,0.0494472,0.0103736,3,0.0001951
84,0.0316492,0.0737268,7.54e-05,0.0732146,0.0004368,3,0.0003153
85,0.018743,0.0134716,2.64e-05,0.0100133,0.0034319,4,1.2e-06
86,0.0418821,0.0959793,0.0001321,0.0904839,0.0053634,3,0.0003448
87,0.0557251,0.1402396,0.0002338,0.1137809,0.026225,3,0.0003195
88,0.027476,0.0796285,5.68e-05,0.0577877,0.0217839,3,0.0004879
89,0.0152251,0.0348185,1.75e-05,0.0318129,0.0029881,3,0.0004879
90,0.0493626,0.1142918,0.0001834,0.1063647,0.0077435,3,0.0004879
91,0.0109721,0.0260787,9.1e-06,0.0237152,0.0023545,3,0.0004879
92,0.2660577,0.6806305,0.0053292,0.6697041,0.0055972,3,0.0011199
93,0.0341213,0.0243678,8.77e-05,0.0242801,0,4,1.2e-06
94,0.0244246,0.0229067,4.49e-05,0.0178324,0.0050295,4,1.2e-06
95,0.0497262,0.1513335,0.0001862,0.124147,0.0270003,3,0.0004879
96,0.0356968,0.0892646,9.59e-05,0.0891687,0,3,0.0004879
97,0.0095109,0.0227698,6.8e-06,0.022763,0,3,0.0003602
98,0.201749,0.1435856,0.0030643,0.1339486,0.0065727,4,1.2e-06
99,0.0474541,0.0523478,0.0001695,0.0346035,0.0175748,4,1.2e-06
100,0.0228537,0.0685041,3.93e-05,0.0576064,0.0108583,3,0.0004879
101,0.0262982,0.0728945,5.21e-05,0.066989,0.0058534,3,0.0004879
102,0.0211758,0.0536148,3.38e-05,0.0531522,0.0004288,3,0.000613
103,0.0053361,0.0040884,2.1e-06,0.0040862,0,4,1.2e-06
104,0.0778111,0.3034132,0.0004558,0.2006112,0.1023462,3,0.0004879
105,0.1064097,0.115223,0.0008525,0.0801824,0.0341881,4,1.2e-06
106,0.1780824,0.1377409,0.0023875,0.1199344,0.0154189,4,1.2e-06
107,0.2315336,0.7130821,0.0040359,0.5903644,0.1186818,3,0.0011939
108,0.0404956,0.1023573,0.0001235,0.1022338,0,3,0.0008954
109,1.32725,3.57522,0.1326213,3.175858,0.266741,3,0.0034445
110,0.0622276,0.1587442,0.0002915,0.1570396,0.001413,3,0.0012585
111,1e-07,2e-07,0,2e-07,0,3,0.0009949
112,0.0445024,0.1316059,0.0001491,0.1137257,0.0177311,3,0.0018047
113,0.006589,0.0040549,3.3e-06,0.0040512,3e-07,4,0
114,0.0102006,0.0252728,7.8e-06,0.0252649,0,3,0.0006819
115,0.8080186,2.561156,0.0491531,1.988822,0.5231807,3,0.0055066
116,0.0024423,0.0015605,4e-07,0.0015313,2.88e-05,4,0
117,0.1851051,0.1077973,0.0025796,0.1052175,3e-07,4,0
118,0.0066277,0.0698011,3.3e-06,0.0166519,0.0531459,3,0.0006819
119,0.0047206,0.0029484,1.7e-06,0.0029466,1e-07,4,0
120,0.0059108,0.0045469,2.6e-06,0.0035611,0.0009831,4,0
121,0.0072197,0.0054579,3.9e-06,0.0043185,0.0011354,4,0
122,0.0626229,0.3334293,0.0002952,0.1566719,0.176462,3,0.0008997
123,0.0032122,0.0030146,8e-07,0.0019868,0.001027,4,0
124,0.2000327,0.6572847,0.0030124,0.5016535,0.1526188,3,0.0012585
125,0.0264227,0.0612755,5.26e-05,0.0612229,0,3,0.000613
126,0.0027689,0.0025653,6e-07,0.001732,0.0008327,4,0
127,0.1296443,0.338942,0.0012654,0.329939,0.0077376,3,0.0012585
128,0.0426876,0.2194409,0.0001372,0.1063804,0.1129232,3,0.0007487
129,0.0069597,0.0177696,3.6e-06,0.0177659,0,3,0.0006819
130,0.0013043,0.0010882,1e-07,0.0010881,0,4,1.2e-06
131,0.0202823,0.0546565,3.1e-05,0.0510099,0.0036155,3,0.0012585
132,0.0172623,0.0330218,2.24e-05,0.0145656,0.0184337,4,1.2e-06
133,0.2951311,0.7469984,0.0065575,0.7036432,0.0367977,3,0.0018047
134,0.0031754,0.0081215,8e-07,0.0079568,0.0001639,3,0.0008997
135,0.4018971,1.045529,0.0121601,1.000134,0.0332351,3,0.002482
136,0.0375236,0.2522088,0.000106,0.0922173,0.1598855,3,0.0007487
137,0.0076822,0.019288,4.4e-06,0.0189134,0.0003702,3,0.0008997
138,0.0132741,0.1359069,1.33e-05,0.0324751,0.1034185,3,0.0009565
139,0.0144762,0.0120633,1.58e-05,0.0120475,0,4,1.2e-06
140,0.0020234,0.0052085,3e-07,0.0049682,0.00024,3,0.0008997
141,0.1294957,0.3129887,0.0012625,0.3117263,0,3,0.0012585
142,0.1066926,0.2810247,0.000857,0.2704677,0.0097,3,0.0008997
143,0.0123169,0.0278854,1.14e-05,0.027874,0,3,0.0008997
144,0.0158394,0.131266,1.89e-05,0.0378919,0.0933552,3,0.0009565
145,0.296925,0.7546247,0.0066375,0.7414497,0.0065375,3,0.0011572
146,0.0060864,0.0145127,2.8e-06,0.0145099,0,3,0.0011572
147,0.0517427,0.0426316,0.0002016,0.0424301,0,4,1.2e-06
148,0.0150047,0.1267271,1.69e-05,0.0355104,0.0911997,3,0.0009565
149,0.0095826,0.0079735,6.9e-06,0.0079666,0,4,1.2e-06
150,0.0144068,0.0340254,1.56e-05,0.0340098,0,3,0.0009565
151,0.0039741,0.0008589,1.2e-06,0.00084,1.77e-05,4,0
152,0.0060253,0.0049415,2.7e-06,0.0049388,0,4,1.2e-06
153,0.0142232,0.0031684,1.52e-05,0.0030003,0.0001528,4,0
154,0.0509693,0.0429775,0.0001956,0.0426777,0.0001042,4,1.2e-06
155,1.412775,1.175108,0.1502637,0.901117,0.1237272,4,1.2e-06
156,0.0038851,0.0032713,1.1e-06,0.0032701,0,4,1.2e-06
157,0.0025675,0.0021665,5e-07,0.002166,0,4,1.2e-06
158,0.0553877,0.0482061,0.000231,0.045394,0.0025811,4,1.2e-06
159,0.4529783,0.4005754,0.0154477,0.3494283,0.0356994,4,1.2e-06
160,0.0163835,0.0180105,2.02e-05,0.0137493,0.004241,4,1.2e-06
161,0.0176042,0.0246763,2.33e-05,0.0146808,0.0099722,4,1.2e-06
162,1.23622,0.9827528,0.1150534,0.8147123,0.0529871,4,1.2e-06
163,0.0266075,0.0239839,5.33e-05,0.0201177,0.0038129,4,1.2e-06
164,0.1276625,0.1025091,0.001227,0.1006963,0.0005858,4,1.2e-06
165,0.1456936,0.1176197,0.001598,0.1149773,0.0010443,4,1.2e-06
166,0.1158667,0.1021507,0.0010107,0.0947466,0.0063934,4,1.2e-06
167,0.041093,0.0311683,0.0001271,0.0303327,0.0007084,4,1.2e-06
168,0.0332268,0.2640054,8.31e-05,0.0596774,0.2042448,3,0.0088614
169,0.0400728,0.0424189,0.0001209,0.0286793,0.0136187,4,1.2e-06
170,0.0338835,0.0232107,8.64e-05,0.0220405,0.0010837,4,1.2e-06
171,0.2785209,0.1854093,0.0058401,0.1721227,0.0074464,4,1.2e-06
172,0.6517977,0.4547946,0.031984,0.4227594,5.11e-05,4,1.2e-06
173,0.0068733,0.0047866,3.6e-06,0.0047831,0,4,1.2e-06
174,0.0841435,0.4363439,0.000533,0.1344942,0.3013166,3,0.0060711
175,0.3639058,0.2510632,0.0099698,0.2364187,0.0046747,4,1.2e-06
176,0.0118593,0.0190351,1.06e-05,0.0185813,0.0004432,3,0.0060711
177,0.0695172,0.0477347,0.0003638,0.0473709,0,4,1.2e-06
178,0.0054066,0.0081881,2.2e-06,0.0081799,6e-06,3,0.0050064
179,0.1022343,0.3476459,0.0007869,0.1572384,0.1896206,3,0.0054086
180,0.0894565,0.2497913,0.0006025,0.1375279,0.1116609,3,0.0054086
181,0.0552028,0.0719696,0.0002294,0.07062,0.0011202,3,0.0179407
182,0.2304141,0.5471413,0.0039969,0.3181397,0.2250046,3,0.0129633
183,0.0167753,0.0211382,2.12e-05,0.021117,0,3,0.0104431
184,0.0478047,0.3988722,0.000172,0.068358,0.3303421,3,0.0090131
185,0.0047836,0.010242,1.7e-06,0.0068792,0.003361,3,0.0045033
186,0.0067224,0.0096695,3.4e-06,0.0096661,0,3,0.0047654
187,0.0952249,0.3895004,0.0006827,0.1374203,0.2513974,3,0.0065378
188,0.0244839,0.0355058,4.51e-05,0.0354607,0,3,0.0078356
189,0.4987359,1.222402,0.0187262,0.6936753,0.51,3,0.0170637
190,0.0182455,0.026623,2.51e-05,0.0265979,0,3,0.0047508
191,0.003779,0.0053654,1.1e-06,0.0053644,0,3,0.0070807
192,0.0940196,0.3216695,0.0006655,0.1374391,0.1835648,3,0.0070807
193,0.0659818,0.0921271,0.0003278,0.0917993,0,3,0.0198839
194,1.23605,2.492001,0.1150218,1.605109,0.7718699,3,0.0210314
195,0.2695163,1.321354,0.0054686,0.3888706,0.9270146,3,0.0094839
196,0.0166027,0.2342722,2.08e-05,0.0245159,0.2097356,3,0.0037775
197,0.0066213,0.0102945,3.3e-06,0.0102912,0,3,0.0018073
198,0.0363958,0.0529013,9.97e-05,0.0528016,0,3,0.0035388
199,0.1521912,0.4198338,0.0017438,0.2348377,0.1832523,3,0.0035526
200,0.010529,0.0163302,8.3e-06,0.0154562,0.0008657,3,0.0035388
201,0.0046538,0.0078336,1.6e-06,0.0069432,0.0008888,3,0.0059866
