Lat,Long,Source
17.1,-89.42,Garcia et al. (2009)
17.1,-89.34,Garcia et al. (2009)
17.1,-89.34,Garcia et al. (2009)
17.1,-89.34,Garcia et al. (2009)
17.24,-89.78,Garcia et al. (2009)
17.25,-89.76,Garcia et al. (2009)
17.25,-89.75,Garcia et al. (2009)
17.25,-89.75,Garcia et al. (2009)
17.24,-89.76,Garcia et al. (2009)
16.45,-90.3,Garcia et al. (2009)
16.52,-90.07,Garcia et al. (2009)
16.41,-90.17,Garcia et al. (2009)
16.32,-90.36,Garcia et al. (2009)
17.24,-90.3,Garcia et al. (2009)
17.24,-90.3,Garcia et al. (2009)
17.24,-90.3,Garcia et al. (2009)
17.24,-90.31,Garcia et al. (2009)
17.25,-90.3,Garcia et al. (2009)
17.24,-90.33,Garcia et al. (2009)
17.24,-90.33,Garcia et al. (2009)
17.25,-90.34,Garcia et al. (2009)
17.26,-90.35,Garcia et al. (2009)
17.26,-90.37,Garcia et al. (2009)
17.27,-90.37,Garcia et al. (2009)
17.27,-90.37,Garcia et al. (2009)
17.27,-90.37,Garcia et al. (2009)
17.26,-90.37,Garcia et al. (2009)
17.26,-90.37,Garcia et al. (2009)
17.26,-90.37,Garcia et al. (2009)
17.26,-90.37,Garcia et al. (2009)
17.26,-90.37,Garcia et al. (2009)
17.26,-90.37,Garcia et al. (2009)
17.26,-90.36,Garcia et al. (2009)
17.26,-90.36,Garcia et al. (2009)
17.25,-90.36,Garcia et al. (2009)
17.25,-90.29,Garcia et al. (2009)
17.26,-90.29,Garcia et al. (2009)
17.26,-90.3,Garcia et al. (2009)
17.26,-90.31,Garcia et al. (2009)
17.26,-90.3,Garcia et al. (2009)
17.26,-90.3,Garcia et al. (2009)
17.25,-90.31,Garcia et al. (2009)
17.24,-90.31,Garcia et al. (2009)
17.24,-90.3,Garcia et al. (2009)
17.24,-90.3,Garcia et al. (2009)
17.24,-90.29,Garcia et al. (2009)
17.24,-90.29,Garcia et al. (2009)
17.24,-90.29,Garcia et al. (2009)
17.23,-90.3,Garcia et al. (2009)
17.23,-90.3,Garcia et al. (2009)
17.23,-90.3,Garcia et al. (2009)
17.23,-90.29,Garcia et al. (2009)
17.23,-90.29,Garcia et al. (2009)
17.23,-90.29,Garcia et al. (2009)
17.23,-90.29,Garcia et al. (2009)
17.23,-90.29,Garcia et al. (2009)
17.23,-90.29,Garcia et al. (2009)
17.23,-90.29,Garcia et al. (2009)
17.23,-90.29,Garcia et al. (2009)
17.22,-90.37,Garcia et al. (2009)
17.22,-90.37,Garcia et al. (2009)
17.23,-90.37,Garcia et al. (2009)
17.23,-90.37,Garcia et al. (2009)
17.2,-89.61,Garcia et al. (2009)
17.2,-89.61,Garcia et al. (2009)
17.2,-89.61,Garcia et al. (2009)
17.23,-89.6,Garcia et al. (2009)
17.23,-89.59,Garcia et al. (2009)
17.22,-89.58,Garcia et al. (2009)
17.22,-89.58,Garcia et al. (2009)
17.21,-89.55,Garcia et al. (2009)
17.21,-89.55,Garcia et al. (2009)
17.35,-89.77,Garcia et al. (2009)
17.36,-89.77,Garcia et al. (2009)
16.86,-90.92,Garcia et al. (2009)
16.86,-90.93,Garcia et al. (2009)
16.86,-90.93,Garcia et al. (2009)
16.85,-90.93,Garcia et al. (2009)
16.87,-90.92,Garcia et al. (2009)
16.87,-90.91,Garcia et al. (2009)
17.09,-89.84,Garcia et al. (2009)
17.09,-89.84,Garcia et al. (2009)
17.12,-89.84,Garcia et al. (2009)
17.74,-89.53,Garcia et al. (2009)
17.74,-89.53,Garcia et al. (2009)
17.73,-89.53,Garcia et al. (2009)
17.73,-89.53,Garcia et al. (2009)
17.66,-89.55,Garcia et al. (2009)
17.66,-89.55,Garcia et al. (2009)
17.73,-89.26,Garcia et al. (2009)
17.7,-89.25,Garcia et al. (2009)
17.7,-89.25,Garcia et al. (2009)
17.73,-89.41,Garcia et al. (2009)
17.76,-89.3,Garcia et al. (2009)
17.76,-89.3,Garcia et al. (2009)
17.76,-89.3,Garcia et al. (2009)
17.74,-89.31,Garcia et al. (2009)
17.73,-89.41,Garcia et al. (2009)
17.76,-89.3,Garcia et al. (2009)
17.76,-89.3,Garcia et al. (2009)
17.58,-89.99,Garcia et al. (2009)
17.73,-89.89,Garcia et al. (2009)
17.73,-89.89,Garcia et al. (2009)
17.73,-89.89,Garcia et al. (2009)
17.73,-89.89,Garcia et al. (2009)
17.77,-89.89,Garcia et al. (2009)
17.77,-89.88,Garcia et al. (2009)
17.77,-89.88,Garcia et al. (2009)
17.77,-89.88,Garcia et al. (2009)
17.79,-89.88,Garcia et al. (2009)
17.79,-89.88,Garcia et al. (2009)
17.44,-90.06,Garcia et al. (2009)
17.44,-90.06,Garcia et al. (2009)
17.44,-90.06,Garcia et al. (2009)
17.44,-90.06,Garcia et al. (2009)
17.44,-90.06,Garcia et al. (2009)
17.44,-90.06,Garcia et al. (2009)
15.81,-90.6,Garcia et al. (2009)
15.81,-90.6,Garcia et al. (2009)
15.82,-90.61,Garcia et al. (2009)
15.82,-90.62,Garcia et al. (2009)
15.12,-89.98,Garcia et al. (2009)
15.12,-89.99,Garcia et al. (2009)
15.12,-89.98,Garcia et al. (2009)
15.12,-89.98,Garcia et al. (2009)
15.12,-89.98,Garcia et al. (2009)
15.12,-89.98,Garcia et al. (2009)
15.12,-89.98,Garcia et al. (2009)
9.12,-85.81,Garcia et al. (2009)
15.12,-89.98,Garcia et al. (2009)
15.12,-89.98,Garcia et al. (2009)
15.12,-89.97,Garcia et al. (2009)
15.12,-89.97,Garcia et al. (2009)
15.11,-89.97,Garcia et al. (2009)
15.11,-89.97,Garcia et al. (2009)
15.1,-89.98,Garcia et al. (2009)
15.1,-89.99,Garcia et al. (2009)
15.1,-89.99,Garcia et al. (2009)
15.77,-89.15,Garcia et al. (2009)
15.88,-89.03,Garcia et al. (2009)
15.88,-89,Garcia et al. (2009)
15.87,-90.93,Garcia et al. (2009)
15.85,-90.91,Garcia et al. (2009)
15.85,-90.91,Garcia et al. (2009)
10.26,-84.04,Michael Cove
10.69,-84.18,Michael Cove
10.53,-84.15,Michael Cove
10.79,-84.21,Michael Cove
10.78,-84.15,Michael Cove
10.79,-84.18,Michael Cove
10.73,-84.17,Michael Cove
10.62,-84.08,Michael Cove
10.36,-83.99,Michael Cove
10.31,-84.04,Michael Cove
10.28,-84.04,Michael Cove
9.92,-83.5,Jan Schipper - Jose F. Gonzalez-Maya
9.43,-83.49,Jan Schipper - Jose F. Gonzalez-Maya
9.11,-82.98,Jan Schipper - Jose F. Gonzalez-Maya
9,-82.9,Jan Schipper - Jose F. Gonzalez-Maya
9.34,-83.21,Jan Schipper - Jose F. Gonzalez-Maya
9.35,-83.19,Jan Schipper - Jose F. Gonzalez-Maya
9.38,-83.16,Jan Schipper - Jose F. Gonzalez-Maya
7.9,-78.35,Ninon Meyer
9.24,-78.66,Ninon Meyer
9.32,-79.97,Ninon Meyer
8.67,-80.67,Ninon Meyer
8.79,-78.45,Ninon Meyer
8.1,-78.12,Ninon Meyer
8.84,-82.53,Ninon Meyer
9.34,-82.62,Ninon Meyer
9.52,-82.52,Ninon Meyer
8.93,-81.7,Ninon Meyer
8.57,-81.07,Ninon Meyer
9.21,-79.8,Ninon Meyer
7.96,-77.4,Ninon Meyer
8.89,-77.97,Ninon Meyer
8.3,-77.51,Ninon Meyer
9.34,-78.99,Ninon Meyer
9.34,-78.99,Ninon Meyer
9.35,-78.97,Ninon Meyer
9.35,-79,Ninon Meyer
8,-77.77,Ninon Meyer
7.98,-77.71,Ninon Meyer
7.96,-77.7,Ninon Meyer
8.05,-77.73,Ninon Meyer
8.04,-77.68,Ninon Meyer
9.16,-79.86,Ninon Meyer
9.17,-79.76,Ninon Meyer
9,-80.69,Ninon Meyer
8.89,-80.65,Ninon Meyer
9.48,-79.57,Ninon Meyer
9.48,-79.57,Ninon Meyer
7.76,-77.69,Ninon Meyer
7.76,-77.65,Ninon Meyer
11.07,-84.03,Cody Schank
11.09,-84.01,Cody Schank
11.04,-83.85,Cody Schank
11.11,-84.05,Cody Schank
11.12,-83.98,Cody Schank
11.07,-83.89,Cody Schank
11.11,-83.98,Cody Schank
17.51,-88.41,Celso Poot
17.51,-88.41,Celso Poot
17.51,-88.41,Celso Poot
17.49,-88.41,Celso Poot
17.55,-88.29,Celso Poot
17.54,-88.29,Celso Poot
17.56,-88.4,Celso Poot
17.56,-88.4,Celso Poot
17.53,-88.41,Celso Poot
17.36,-88.54,Celso Poot
17.53,-88.41,Celso Poot
17.49,-88.41,Celso Poot
17.33,-88.46,Celso Poot
17.3,-88.45,Celso Poot
17.31,-88.46,Celso Poot
17.3,-88.43,Celso Poot
17.32,-88.45,Celso Poot
17.3,-88.44,Celso Poot
17.31,-88.46,Celso Poot
17.36,-88.48,Celso Poot
17.33,-88.46,Celso Poot
17.31,-88.46,Celso Poot
17.33,-88.45,Celso Poot
17.32,-88.47,Celso Poot
17.32,-88.45,Celso Poot
16.72,-88.99,Celso Poot
16.85,-89.04,Celso Poot
16.75,-89,Celso Poot
7.8,-77.09,Diego Lizcano
7.93,-77.05,Diego Lizcano
7.13,-77.47,Diego Lizcano
7.71,-78.5,Diego Lizcano
11.06542496,-83.993524,Cody Schank
11.07163302,-84.03291299,Cody Schank
11.12000498,-83.88999802,Cody Schank
11.02794603,-83.88356701,Cody Schank
11.10714002,-84.06154004,Cody Schank
11.05538,-83.81014103,Cody Schank
11.10688001,-83.90956599,Cody Schank
11.07926901,-83.98898402,Cody Schank
11.06233497,-83.91807396,Cody Schank
11.13800797,-83.860226,Cody Schank
11.08928396,-84.00942204,Cody Schank
11.05732,-83.86903002,Cody Schank
11.04293296,-83.84920699,Cody Schank
11.10730003,-84.05253,Cody Schank
11.02129298,-83.91102,Cody Schank
11.002025,-83.956708,Cody Schank
11.12792999,-83.92271996,Cody Schank
11.11991999,-83.98040799,Cody Schank
11.06843901,-83.888283,Cody Schank
11.10506399,-83.98229803,Cody Schank
11.06884704,-83.81441798,Cody Schank
11.12326001,-83.91437997,Cody Schank
