Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
548	0.0384422	0.0007108	0.0006826	0.0000281	0.0000000	
549	0.0441029	0.0008985	0.0008985	0.0000000	0.0000000	
550	0.0096489	0.0002320	0.0000430	0.0001862	0.0000028	
551	0.0035734	0.0000101	0.0000059	0.0000042	0.0000000	
552	0.0042805	0.0000085	0.0000085	0.0000000	0.0000000	
553	0.0085040	0.0000334	0.0000334	0.0000000	0.0000000	
554	0.0131934	0.0000841	0.0000804	0.0000037	0.0000000	
555	0.0044168	0.0000091	0.0000090	0.0000001	0.0000000	
556	0.0140663	0.0000917	0.0000914	0.0000003	0.0000000	
557	0.0070400	0.0000265	0.0000229	0.0000036	0.0000000	
558	0.0657602	0.0019977	0.0019975	0.0000001	0.0000000	
559	0.0082169	0.0000312	0.0000312	0.0000001	0.0000000	
560	0.3455513	0.0551558	0.0551554	0.0000004	0.0000000	
561	0.0029788	0.0000097	0.0000041	0.0000056	0.0000000	
562	0.0902259	0.0037969	0.0037603	0.0000366	0.0000000	
563	0.0253973	0.0003036	0.0002979	0.0000056	0.0000000	
564	0.0028956	0.0000039	0.0000039	0.0000001	0.0000000	
565	0.0109235	0.0000553	0.0000551	0.0000002	0.0000000	
566	0.0091356	0.0000386	0.0000386	0.0000000	0.0000000	
567	0.0080730	0.0000305	0.0000301	0.0000004	0.0000000	
568	0.0079478	0.0000295	0.0000292	0.0000003	0.0000000	
569	0.0039256	0.0000078	0.0000071	0.0000006	0.0000000	
570	0.0013674	0.0000010	0.0000009	0.0000002	0.0000000	
571	0.0109307	0.0000574	0.0000552	0.0000022	0.0000000	
572	0.0013960	0.0000030	0.0000009	0.0000021	0.0000000	
573	0.0016498	0.0000073	0.0000013	0.0000060	0.0000000	
574	0.0227450	0.0002393	0.0002390	0.0000003	0.0000000	
575	0.1541835	0.0268687	0.0109809	0.0156787	0.0002090	
576	0.0424614	0.0008338	0.0008328	0.0000010	0.0000000	
577	0.1523929	0.0107374	0.0107274	0.0000101	0.0000000	
578	0.0830995	0.0031941	0.0031898	0.0000043	0.0000000	
579	0.0049962	0.0000176	0.0000115	0.0000060	0.0000000	
580	0.0057946	0.0000155	0.0000155	0.0000000	0.0000000	
581	0.0181829	0.0001527	0.0001527	0.0000000	0.0000000	
582	0.0043948	0.0000089	0.0000089	0.0000000	0.0000000	
583	0.0057414	0.0000189	0.0000152	0.0000037	0.0000000	
584	0.0148136	0.0001108	0.0001014	0.0000094	0.0000001	
585	0.0175447	0.0002181	0.0001422	0.0000759	0.0000000	
586	0.0038425	0.0000068	0.0000068	0.0000000	0.0000000	
587	0.0147818	0.0006189	0.0001009	0.0005179	0.0000000	
588	0.0797838	0.0031399	0.0029403	0.0001996	0.0000000	
589	0.0079023	0.0002279	0.0000288	0.0001990	0.0000000	
590	0.0327529	0.0005062	0.0004955	0.0000106	0.0000000	
591	0.0047345	0.0000104	0.0000104	0.0000000	0.0000000	
592	0.0012224	0.0000049	0.0000007	0.0000042	0.0000000	
593	0.0020647	0.0000020	0.0000020	0.0000000	0.0000000	
594	0.0433824	0.0008735	0.0008693	0.0000042	0.0000000	
595	0.0012694	0.0000008	0.0000007	0.0000001	0.0000000	
596	0.0062802	0.0000927	0.0000182	0.0000587	0.0000157	
597	0.0102315	0.0000512	0.0000484	0.0000029	0.0000000	
598	0.1212121	0.0068380	0.0067866	0.0000514	0.0000000	
599	0.0232668	0.0003307	0.0002501	0.0000807	0.0000000	
600	0.0057243	0.0000151	0.0000151	0.0000000	0.0000000	
601	0.0093889	0.0000853	0.0000407	0.0000446	0.0000000	
602	0.0135072	0.0000974	0.0000843	0.0000131	0.0000000	
603	0.0793606	0.0029093	0.0029092	0.0000001	0.0000000	
604	0.0056480	0.0000147	0.0000147	0.0000000	0.0000000	
605	0.0024000	0.0000027	0.0000027	0.0000000	0.0000000	
606	0.0112007	0.0000580	0.0000580	0.0000000	0.0000000	
607	0.0013803	0.0000009	0.0000009	0.0000001	0.0000000	
608	0.0056129	0.0000146	0.0000146	0.0000001	0.0000000	
609	0.0071820	0.0000369	0.0000238	0.0000131	0.0000000	
610	0.0058549	0.0000159	0.0000158	0.0000000	0.0000000	
611	0.0352294	0.0005782	0.0005733	0.0000050	0.0000000	
612	0.0065936	0.0000201	0.0000201	0.0000000	0.0000000	
613	0.0029131	0.0000039	0.0000039	0.0000000	0.0000000	
614	0.0031922	0.0000047	0.0000047	0.0000000	0.0000000	
615	0.0034562	0.0000055	0.0000055	0.0000000	0.0000000	
616	0.0319542	0.0004716	0.0004716	0.0000000	0.0000000	
617	0.0054616	0.0000138	0.0000138	0.0000000	0.0000000	
618	0.0917048	0.0038896	0.0038846	0.0000050	0.0000000	
619	0.0044166	0.0000090	0.0000090	0.0000000	0.0000000	
620	0.0869292	0.0034935	0.0034906	0.0000030	0.0000000	
621	0.0304766	0.0004761	0.0004290	0.0000471	0.0000000	
622	0.0086276	0.0000344	0.0000344	0.0000000	0.0000000	
623	0.5069550	0.1342947	0.1187140	0.0155807	0.0000000	
624	0.0045376	0.0000095	0.0000095	0.0000000	0.0000000	
625	0.0130403	0.0000815	0.0000785	0.0000030	0.0000000	
626	0.0523377	0.0013147	0.0012653	0.0000493	0.0000000	
627	0.0443334	0.0009894	0.0009079	0.0000807	0.0000009	
628	0.0022733	0.0000024	0.0000024	0.0000000	0.0000000	
629	0.0027697	0.0000066	0.0000035	0.0000030	0.0000000	
630	0.0089689	0.0000372	0.0000372	0.0000000	0.0000000	
631	0.0096442	0.0000430	0.0000430	0.0000000	0.0000000	
632	0.0028456	0.0000037	0.0000037	0.0000000	0.0000000	
633	0.0102031	0.0000481	0.0000481	0.0000000	0.0000000	
634	0.0122155	0.0000689	0.0000689	0.0000000	0.0000000	
635	0.0031089	0.0000045	0.0000045	0.0000000	0.0000000	
636	0.0062588	0.0000208	0.0000181	0.0000027	0.0000000	
637	0.0075698	0.0000611	0.0000265	0.0000345	0.0000001	
638	0.0016914	0.0000017	0.0000013	0.0000004	0.0000000	
639	0.0024391	0.0000028	0.0000027	0.0000000	0.0000000	
640	0.0018601	0.0000253	0.0000016	0.0000237	0.0000000	
641	0.0049642	0.0000114	0.0000114	0.0000000	0.0000000	
642	0.0588621	0.0016004	0.0016004	0.0000000	0.0000000	
643	0.0045382	0.0000125	0.0000095	0.0000030	0.0000000	
644	0.0014867	0.0000958	0.0000010	0.0000948	0.0000000	
645	0.0034188	0.0000054	0.0000054	0.0000000	0.0000000	
646	0.0101071	0.0001228	0.0000472	0.0000756	0.0000000	
647	0.0048153	0.0000107	0.0000107	0.0000000	0.0000000	
648	0.0039087	0.0000588	0.0000071	0.0000518	0.0000000	
649	0.0077652	0.0001250	0.0000279	0.0000971	0.0000000	
650	0.0220829	0.0002253	0.0002253	0.0000000	0.0000000	
651	0.0023340	0.0000052	0.0000025	0.0000027	0.0000000	
652	0.0616343	0.0017547	0.0017547	0.0000000	0.0000000	
653	0.0175016	0.0003305	0.0001415	0.0001890	0.0000000	
654	0.0084103	0.0000327	0.0000327	0.0000000	0.0000000	
655	0.0077640	0.0000571	0.0000278	0.0000284	0.0000009	
656	0.0091543	0.0000388	0.0000387	0.0000001	0.0000000	
657	0.0445750	0.0016240	0.0009178	0.0007062	0.0000000	
658	0.0250118	0.0004453	0.0002890	0.0001563	0.0000000	
659	0.0099015	0.0000453	0.0000453	0.0000000	0.0000000	
660	0.0099860	0.0000461	0.0000461	0.0000000	0.0000000	
661	0.0033264	0.0000051	0.0000051	0.0000000	0.0000000	
662	0.0078123	0.0000282	0.0000282	0.0000000	0.0000000	
663	0.0050427	0.0000117	0.0000117	0.0000000	0.0000000	
664	0.0048110	0.0000107	0.0000107	0.0000000	0.0000000	
665	0.2482384	0.0288386	0.0284643	0.0003736	0.0000007	
666	0.1023083	0.0048413	0.0048349	0.0000064	0.0000000	
667	0.0028765	0.0000038	0.0000038	0.0000000	0.0000000	
